Operation Slapstick,https://en.wikipedia.org/wiki/Operation_Slapstick,null,9-Sep-43
Battle of Suomussalmi,https://en.wikipedia.org/wiki/Battle_of_Suomussalmi,Coordinates: 64°53?18?N 28°53?20?E? / ?64.88833°N 28.88889°E? / 64.88833; 28.88889,"December 7, 1939 to January 8, 1940"
Battle of Collecchio,https://en.wikipedia.org/wiki/Battle_of_Collecchio,Coordinates: 44°44?59?N 10°12?56?E? / ?44.749659°N 10.215569°E? / 44.749659; 10.215569,26–29 April 1945
Naval Battle off Malaya,https://en.wikipedia.org/wiki/Sinking_of_Prince_of_Wales_and_Repulse,Coordinates: 3°34?N 104°26?E? / ?3.567°N 104.433°E? / 3.567; 104.433,10-Dec-41
Battle of Arnhem,https://en.wikipedia.org/wiki/Battle_of_Arnhem,Coordinates: 51°58?48.82?N 5°54?1.24?E? / ?51.9802278°N 5.9003444°E? / 51.9802278; 5.9003444,17–26 September 1944
Battle of Tachiao,https://en.wikipedia.org/wiki/Battle_of_Tachiao,Coordinates: 18°56?22?N 96°25?59?E? / ?18.939529°N 96.433144°E? / 18.939529; 96.433144,null
Battle of Kampar,https://en.wikipedia.org/wiki/Battle_of_Kampar,,30 December 1941 – 2 January 1942
Battle of Bataan,https://en.wikipedia.org/wiki/Battle_of_Bataan,null,"7 January – 9 April 1942 (3 months, and 2 days)"
Battle of Corregidor,https://en.wikipedia.org/wiki/Battle_of_Corregidor,Coordinates: 14°40?00?N 120°25?01?E? / ?14.6667°N 120.4170°E? / 14.6667; 120.4170,"May 5–6, 1942"
Operation Astonia,https://en.wikipedia.org/wiki/Operation_Astonia,,10–12 September 1944
Battle of Elephant Point,https://en.wikipedia.org/wiki/Battle_of_Elephant_Point,Coordinates: 16°48?N 96°09?E? / ?16.800°N 96.150°E? / 16.800; 96.150,1-May-45
Operation Paula,https://en.wikipedia.org/wiki/Operation_Paula,null,3-Jun-40
Battle of Hill 400,"https://en.wikipedia.org/wiki/Hill_400,_Bergstein",Coordinates: 50°41?42?N 6°26?31?E? / ?50.695°N 6.442°E? / 50.695; 6.442,null
Losheim Gap,https://en.wikipedia.org/wiki/Losheim_Gap,Coordinates: 50°24?17?N 6°16?05?E? / ?50.40472°N 6.26806°E? / 50.40472; 6.26806,16-Dec-44
Battle of Slim River,https://en.wikipedia.org/wiki/Battle_of_Slim_River,,6–8 January 1942
Battle of Luzon,https://en.wikipedia.org/wiki/Battle_of_Luzon,,9 January – 15 August 1945
Battle of Crete,https://en.wikipedia.org/wiki/Battle_of_Crete,Coordinates: 35°13?N 24°55?E? / ?35.217°N 24.917°E? / 35.217; 24.917,20 May – 1 June 1941 (11 days)
Battle of Kassel,https://en.wikipedia.org/wiki/Battle_of_Kassel_(1945),Coordinates: 51°19?N 9°30?E? / ?51.317°N 9.500°E? / 51.317; 9.500,1–4 April 1945
Battle of Leyte,https://en.wikipedia.org/wiki/Battle_of_Leyte,Coordinates: 10°57?N 124°50?E? / ?10.950°N 124.833°E? / 10.950; 124.833,17 October – 26 December 1944 (Initial phase involving Sixth Army) guerrilla phase under Eighth Army continued until March 1945[1]:324
Battle of Lanzerath Ridge,https://en.wikipedia.org/wiki/Battle_of_Lanzerath_Ridge,Coordinates: 50°21?34?N 6°19?45?E? / ?50.359487°N 6.329241°E? / 50.359487; 6.329241,"December 16–17, 1944"
Battle of Pegu,https://en.wikipedia.org/wiki/Battle_of_Pegu,,3–7 March 1942
Battle of Cisterna,https://en.wikipedia.org/wiki/Battle_of_Cisterna,Coordinates: 41°24?00?N 13°59?00?E? / ?41.4000°N 13.9833°E? / 41.4000; 13.9833,30 January-2 February 1944
Battle of Hannut,https://en.wikipedia.org/wiki/Battle_of_Hannut,Coordinates: 50°40?00?N 5°05?00?E? / ?50.6667°N 5.0833°E? / 50.6667; 5.0833,12–14 May 1940
Battle of Sittang Bridge,https://en.wikipedia.org/wiki/Battle_of_Sittang_Bridge,,19–23 February 1942
Operation Diadem,https://en.wikipedia.org/wiki/Operation_Diadem,,11-May-44
Battle of Muar,https://en.wikipedia.org/wiki/Battle_of_Muar,,14–22 January 1942
Operation Dracula,https://en.wikipedia.org/wiki/Operation_Dracula,,January - March 1945
Operation Undergo,https://en.wikipedia.org/wiki/Operation_Undergo,,22 September–1 October 1944
The Hardest Day,https://en.wikipedia.org/wiki/The_Hardest_Day,,18-Aug-40
Battle of Zeeland,https://en.wikipedia.org/wiki/Battle_of_Zeeland,,10–18 May 1940
Battle of Bologna,https://en.wikipedia.org/wiki/Battle_of_Bologna,,9–21 April 1945
Battle of Vianden,https://en.wikipedia.org/wiki/Battle_of_Vianden,Coordinates: 49°56?02?N 6°12?27?E? / ?49.933994°N 6.207627°E? / 49.933994; 6.207627,15–19 November 1944
Battle of Petsamo,https://en.wikipedia.org/wiki/Battle_of_Petsamo_(1939),Coordinates: 69°15?N 30°34?E? / ?69.250°N 30.567°E? / 69.250; 30.567,"November 30, 1939 to March 12, 1940"
Operation Romeo,https://en.wikipedia.org/wiki/Operation_Romeo,Coordinates: 43°9?18?N 6°26?25?E? / ?43.15500°N 6.44028°E? / 43.15500; 6.44028,null
Battle of the Afsluitdijk,https://en.wikipedia.org/wiki/Battle_of_the_Afsluitdijk,Coordinates: 53°4?27?N 5°20?13?E? / ?53.07417°N 5.33694°E? / 53.07417; 5.33694,12–14 May 1940
Battle of Rotterdam,https://en.wikipedia.org/wiki/Battle_of_Rotterdam,Coordinates: 51°55?51?N 4°28?45?E? / ?51.93083°N 4.47917°E? / 51.93083; 4.47917,10–14 May 1940
Battle off Endau,https://en.wikipedia.org/wiki/Battle_off_Endau,,26–27 January 1942
Operation Plunder,https://en.wikipedia.org/wiki/Operation_Plunder,,24-Mar-45
Battle of Kesternich,https://en.wikipedia.org/wiki/Battle_of_Kesternich,Coordinates: 50°36?27?N 6°19?45?E? / ?50.60753°N 6.32915°E? / 50.60753; 6.32915,"First battle: 13–16 December 1944

Second battle: 30 January-1 February 1945"
Battle of Changsha (1944),https://en.wikipedia.org/wiki/Battle_of_Hengyang,,"June 22–August 8, 1944"
Battle of Fort Eben-Emael,https://en.wikipedia.org/wiki/Battle_of_Fort_Eben-Emael,Coordinates: 50°47?50?N 5°40?51?E? / ?50.79722°N 5.68083°E? / 50.79722; 5.68083,10–11 May 1940
Ruhr Pocket,https://en.wikipedia.org/wiki/Ruhr_Pocket,,"March 7 to April 21, 1945"
Battle of Clervaux,https://en.wikipedia.org/wiki/Battle_of_Clervaux,Coordinates: 50°03?18?N 6°01?48?E? / ?50.055°N 6.030°E? / 50.055; 6.030,16 December 1944 – 18 December 1944
Battle of Manila (1945),https://en.wikipedia.org/wiki/Battle_of_Manila_(1945),Coordinates: 14°35?N 120°58?E? / ?14.583°N 120.967°E? / 14.583; 120.967,3 February – 3 March 1945
Battle of Dunkirk,https://en.wikipedia.org/wiki/Battle_of_Dunkirk,Coordinates: 51°02?03?N 2°22?37?E? / ?51.0343°N 2.37682°E? / 51.0343; 2.37682,26 May–4 June 1940
